service_date,role,assignee_name
2025-10-20,primary,Anna Wróbel
2025-10-20,secondary,Robert Baran
2025-10-21,late_shift,Celina Mazur
2025-10-21,primary,Dawid Lewandowski
2025-10-21,secondary,Celina Mazur
2025-10-22,late_shift,Bartosz Kowal
2025-10-22,primary,Grzegorz Zieliński
2025-10-22,secondary,Bartosz Kowal
2025-10-23,late_shift,Tomasz Krawczyk
2025-10-23,primary,Halina Szymańska
2025-10-23,secondary,Tomasz Krawczyk
2025-10-24,late_shift,Anna Wróbel
2025-10-24,primary,Robert Baran
2025-10-24,secondary,Anna Wróbel
2025-10-25,primary,Grzegorz Zieliński
2025-10-25,secondary,Celina Mazur
2025-10-26,primary,Grzegorz Zieliński
2025-10-26,secondary,Celina Mazur
2025-10-27,late_shift,Halina Szymańska
2025-10-27,primary,Anna Wróbel
2025-10-27,secondary,Halina Szymańska
2025-10-28,late_shift,Robert Baran
2025-10-28,primary,Dawid Lewandowski
2025-10-28,secondary,Robert Baran
2025-10-29,late_shift,Igor Wójcik
2025-10-29,primary,Elżbieta Kaczmarek
2025-10-29,secondary,Grzegorz Zieliński
2025-10-30,late_shift,Bartosz Kowal
2025-10-30,primary,Halina Szymańska
2025-10-30,secondary,Bartosz Kowal
2025-10-31,late_shift,Igor Wójcik
2025-10-31,primary,Robert Baran
2025-10-31,secondary,Igor Wójcik
2025-11-01,primary,Anna Wróbel
2025-11-01,secondary,Bartosz Kowal
2025-11-02,primary,Anna Wróbel
2025-11-02,secondary,Bartosz Kowal
2025-11-03,late_shift,Halina Szymańska
2025-11-03,primary,Tomasz Krawczyk
2025-11-03,secondary,Halina Szymańska
2025-11-04,late_shift,Robert Baran
2025-11-04,primary,Dawid Lewandowski
2025-11-04,secondary,Robert Baran
2025-11-05,late_shift,Tomasz Krawczyk
2025-11-05,primary,Elżbieta Kaczmarek
2025-11-05,secondary,Tomasz Krawczyk
2025-11-06,late_shift,Anna Wróbel
2025-11-06,primary,Halina Szymańska
2025-11-06,secondary,Anna Wróbel
2025-11-07,late_shift,Dawid Lewandowski
2025-11-07,primary,Robert Baran
2025-11-07,secondary,Grzegorz Zieliński
2025-11-08,primary,Celina Mazur
2025-11-08,secondary,Dawid Lewandowski
2025-11-09,primary,Celina Mazur
2025-11-09,secondary,Dawid Lewandowski
2025-11-10,late_shift,Halina Szymańska
2025-11-10,primary,Tomasz Krawczyk
2025-11-10,secondary,Halina Szymańska
2025-11-11,primary,Elżbieta Kaczmarek
2025-11-11,secondary,Anna Wróbel
2025-11-12,late_shift,Igor Wójcik
2025-11-12,primary,Dawid Lewandowski
2025-11-12,secondary,Igor Wójcik
2025-11-13,late_shift,Tomasz Krawczyk
2025-11-13,primary,Halina Szymańska
2025-11-13,secondary,Tomasz Krawczyk
2025-11-14,late_shift,Dawid Lewandowski
2025-11-14,primary,Robert Baran
2025-11-14,secondary,Grzegorz Zieliński
2025-11-15,primary,Robert Baran
2025-11-15,secondary,Elżbieta Kaczmarek
2025-11-16,primary,Robert Baran
2025-11-16,secondary,Elżbieta Kaczmarek
2025-11-17,late_shift,Elżbieta Kaczmarek
2025-11-17,primary,Tomasz Krawczyk
2025-11-17,secondary,Grzegorz Zieliński
2025-11-18,late_shift,Halina Szymańska
2025-11-18,primary,Bartosz Kowal
2025-11-18,secondary,Halina Szymańska
2025-11-19,late_shift,Igor Wójcik
2025-11-19,primary,Dawid Lewandowski
2025-11-19,secondary,Igor Wójcik
2025-11-20,late_shift,Tomasz Krawczyk
2025-11-20,primary,Halina Szymańska
2025-11-20,secondary,Tomasz Krawczyk
2025-11-21,late_shift,Robert Baran
2025-11-21,primary,Tomasz Krawczyk
2025-11-21,secondary,Robert Baran
2025-11-22,primary,Grzegorz Zieliński
2025-11-22,secondary,Anna Wróbel
2025-11-23,primary,Grzegorz Zieliński
2025-11-23,secondary,Anna Wróbel
2025-11-24,late_shift,Robert Baran
2025-11-24,primary,Bartosz Kowal
2025-11-24,secondary,Robert Baran
2025-11-25,late_shift,Celina Mazur
2025-11-25,primary,Dawid Lewandowski
2025-11-25,secondary,Celina Mazur
2025-11-26,late_shift,Anna Wróbel
2025-11-26,primary,Elżbieta Kaczmarek
2025-11-26,secondary,Grzegorz Zieliński
2025-11-27,late_shift,Igor Wójcik
2025-11-27,primary,Halina Szymańska
2025-11-27,secondary,Igor Wójcik
2025-11-28,late_shift,Robert Baran
2025-11-28,primary,Tomasz Krawczyk
2025-11-28,secondary,Robert Baran
2025-11-29,primary,Halina Szymańska
2025-11-29,secondary,Tomasz Krawczyk
2025-11-30,primary,Halina Szymańska
2025-11-30,secondary,Tomasz Krawczyk
2025-12-01,late_shift,Bartosz Kowal
2025-12-01,primary,Anna Wróbel
2025-12-01,secondary,Bartosz Kowal
2025-12-02,late_shift,Celina Mazur
2025-12-02,primary,Dawid Lewandowski
2025-12-02,secondary,Celina Mazur
2025-12-03,late_shift,Dawid Lewandowski
2025-12-03,primary,Bartosz Kowal
2025-12-03,secondary,Grzegorz Zieliński
2025-12-04,late_shift,Halina Szymańska
2025-12-04,primary,Elżbieta Kaczmarek
2025-12-04,secondary,Halina Szymańska
2025-12-05,late_shift,Igor Wójcik
2025-12-05,primary,Tomasz Krawczyk
2025-12-05,secondary,Igor Wójcik
2025-12-06,primary,Anna Wróbel
2025-12-06,secondary,Robert Baran
2025-12-07,primary,Anna Wróbel
2025-12-07,secondary,Robert Baran
2025-12-08,late_shift,Halina Szymańska
2025-12-08,primary,Bartosz Kowal
2025-12-08,secondary,Halina Szymańska
2025-12-09,late_shift,Dawid Lewandowski
2025-12-09,primary,Celina Mazur
2025-12-09,secondary,Dawid Lewandowski
2025-12-10,late_shift,Anna Wróbel
2025-12-10,primary,Elżbieta Kaczmarek
2025-12-10,secondary,Grzegorz Zieliński
2025-12-11,late_shift,Bartosz Kowal
2025-12-11,primary,Dawid Lewandowski
2025-12-11,secondary,Bartosz Kowal
2025-12-12,late_shift,Celina Mazur
2025-12-12,primary,Tomasz Krawczyk
2025-12-12,secondary,Celina Mazur
2025-12-13,primary,Elżbieta Kaczmarek
2025-12-13,secondary,Halina Szymańska
2025-12-14,primary,Elżbieta Kaczmarek
2025-12-14,secondary,Halina Szymańska
2025-12-15,late_shift,Igor Wójcik
2025-12-15,primary,Bartosz Kowal
2025-12-15,secondary,Igor Wójcik
2025-12-16,late_shift,Dawid Lewandowski
2025-12-16,primary,Celina Mazur
2025-12-16,secondary,Dawid Lewandowski
2025-12-17,late_shift,Elżbieta Kaczmarek
2025-12-17,primary,Robert Baran
2025-12-17,secondary,Elżbieta Kaczmarek
2025-12-18,late_shift,Elżbieta Kaczmarek
2025-12-18,primary,Dawid Lewandowski
2025-12-18,secondary,Grzegorz Zieliński
2025-12-19,late_shift,Bartosz Kowal
2025-12-19,primary,Tomasz Krawczyk
2025-12-19,secondary,Bartosz Kowal
2025-12-20,primary,Celina Mazur
2025-12-20,secondary,Igor Wójcik
2025-12-21,primary,Celina Mazur
2025-12-21,secondary,Igor Wójcik
2025-12-22,late_shift,Tomasz Krawczyk
2025-12-22,primary,Bartosz Kowal
2025-12-22,secondary,Tomasz Krawczyk
2025-12-23,late_shift,Anna Wróbel
2025-12-23,primary,Dawid Lewandowski
2025-12-23,secondary,Anna Wróbel
2025-12-24,primary,Grzegorz Zieliński
2025-12-24,secondary,Bartosz Kowal
2025-12-25,primary,Grzegorz Zieliński
2025-12-25,secondary,Bartosz Kowal
2025-12-26,primary,Grzegorz Zieliński
2025-12-26,secondary,Bartosz Kowal
2025-12-27,primary,Grzegorz Zieliński
2025-12-27,secondary,Bartosz Kowal
2025-12-28,primary,Grzegorz Zieliński
2025-12-28,secondary,Bartosz Kowal
2025-12-29,late_shift,Celina Mazur
2025-12-29,primary,Robert Baran
2025-12-29,secondary,Celina Mazur
2025-12-30,late_shift,Elżbieta Kaczmarek
2025-12-30,primary,Tomasz Krawczyk
2025-12-30,secondary,Elżbieta Kaczmarek
2025-12-31,late_shift,Celina Mazur
2025-12-31,primary,Dawid Lewandowski
2025-12-31,secondary,Celina Mazur
2026-01-01,primary,Halina Szymańska
2026-01-01,secondary,Dawid Lewandowski
2026-01-02,late_shift,Tomasz Krawczyk
2026-01-02,primary,Bartosz Kowal
2026-01-02,secondary,Grzegorz Zieliński
2026-01-03,primary,Robert Baran
2026-01-03,secondary,Tomasz Krawczyk
2026-01-04,primary,Robert Baran
2026-01-04,secondary,Tomasz Krawczyk
2026-01-05,late_shift,Elżbieta Kaczmarek
2026-01-05,primary,Anna Wróbel
2026-01-05,secondary,Elżbieta Kaczmarek
2026-01-06,primary,Dawid Lewandowski
2026-01-06,secondary,Celina Mazur
2026-01-07,late_shift,Anna Wróbel
2026-01-07,primary,Tomasz Krawczyk
2026-01-07,secondary,Anna Wróbel
2026-01-08,late_shift,Robert Baran
2026-01-08,primary,Bartosz Kowal
2026-01-08,secondary,Robert Baran
2026-01-09,late_shift,Dawid Lewandowski
2026-01-09,primary,Anna Wróbel
2026-01-09,secondary,Grzegorz Zieliński
2026-01-10,primary,Halina Szymańska
2026-01-10,secondary,Dawid Lewandowski
2026-01-11,primary,Halina Szymańska
2026-01-11,secondary,Dawid Lewandowski
2026-01-12,late_shift,Halina Szymańska
2026-01-12,primary,Tomasz Krawczyk
2026-01-12,secondary,Grzegorz Zieliński
2026-01-13,late_shift,Anna Wróbel
2026-01-13,primary,Bartosz Kowal
2026-01-13,secondary,Anna Wróbel
2026-01-14,late_shift,Halina Szymańska
2026-01-14,primary,Elżbieta Kaczmarek
2026-01-14,secondary,Halina Szymańska
2026-01-15,late_shift,Robert Baran
2026-01-15,primary,Tomasz Krawczyk
2026-01-15,secondary,Robert Baran
2026-01-16,late_shift,Elżbieta Kaczmarek
2026-01-16,primary,Anna Wróbel
2026-01-16,secondary,Elżbieta Kaczmarek
2026-01-17,primary,Bartosz Kowal
2026-01-17,secondary,Celina Mazur
2026-01-18,primary,Bartosz Kowal
2026-01-18,secondary,Celina Mazur
2026-01-19,late_shift,Igor Wójcik
2026-01-19,primary,Dawid Lewandowski
2026-01-19,secondary,Igor Wójcik
2026-01-20,late_shift,Tomasz Krawczyk
2026-01-20,primary,Elżbieta Kaczmarek
2026-01-20,secondary,Grzegorz Zieliński
2026-01-21,late_shift,Anna Wróbel
2026-01-21,primary,Celina Mazur
2026-01-21,secondary,Anna Wróbel
2026-01-22,late_shift,Elżbieta Kaczmarek
2026-01-22,primary,Tomasz Krawczyk
2026-01-22,secondary,Elżbieta Kaczmarek
2026-01-23,late_shift,Halina Szymańska
2026-01-23,primary,Anna Wróbel
2026-01-23,secondary,Halina Szymańska
2026-01-24,primary,Dawid Lewandowski
2026-01-24,secondary,Robert Baran
2026-01-25,primary,Dawid Lewandowski
2026-01-25,secondary,Robert Baran
2026-01-26,late_shift,Bartosz Kowal
2026-01-26,primary,Celina Mazur
2026-01-26,secondary,Grzegorz Zieliński
2026-01-27,late_shift,Igor Wójcik
2026-01-27,primary,Elżbieta Kaczmarek
2026-01-27,secondary,Igor Wójcik
2026-01-28,late_shift,Anna Wróbel
2026-01-28,primary,Robert Baran
2026-01-28,secondary,Anna Wróbel
2026-01-29,late_shift,Elżbieta Kaczmarek
2026-01-29,primary,Tomasz Krawczyk
2026-01-29,secondary,Elżbieta Kaczmarek
2026-01-30,late_shift,Halina Szymańska
2026-01-30,primary,Anna Wróbel
2026-01-30,secondary,Halina Szymańska
2026-01-31,primary,Tomasz Krawczyk
2026-01-31,secondary,Grzegorz Zieliński
2026-02-01,primary,Tomasz Krawczyk
2026-02-01,secondary,Grzegorz Zieliński
2026-02-02,late_shift,Igor Wójcik
2026-02-02,primary,Celina Mazur
2026-02-02,secondary,Igor Wójcik
2026-02-03,late_shift,Anna Wróbel
2026-02-03,primary,Elżbieta Kaczmarek
2026-02-03,secondary,Anna Wróbel
2026-02-04,late_shift,Halina Szymańska
2026-02-04,primary,Robert Baran
2026-02-04,secondary,Halina Szymańska
2026-02-05,late_shift,Tomasz Krawczyk
2026-02-05,primary,Anna Wróbel
2026-02-05,secondary,Tomasz Krawczyk
2026-02-06,late_shift,Elżbieta Kaczmarek
2026-02-06,primary,Celina Mazur
2026-02-06,secondary,Elżbieta Kaczmarek
2026-02-07,primary,Halina Szymańska
2026-02-07,secondary,Igor Wójcik
2026-02-08,primary,Halina Szymańska
2026-02-08,secondary,Igor Wójcik
2026-02-09,late_shift,Dawid Lewandowski
2026-02-09,primary,Elżbieta Kaczmarek
2026-02-09,secondary,Dawid Lewandowski
2026-02-10,late_shift,Tomasz Krawczyk
2026-02-10,primary,Robert Baran
2026-02-10,secondary,Tomasz Krawczyk
2026-02-11,late_shift,Elżbieta Kaczmarek
2026-02-11,primary,Anna Wróbel
2026-02-11,secondary,Elżbieta Kaczmarek
2026-02-12,late_shift,Halina Szymańska
2026-02-12,primary,Bartosz Kowal
2026-02-12,secondary,Halina Szymańska
2026-02-13,late_shift,Anna Wróbel
2026-02-13,primary,Celina Mazur
2026-02-13,secondary,Anna Wróbel
2026-02-14,primary,Robert Baran
2026-02-14,secondary,Dawid Lewandowski
2026-02-15,primary,Robert Baran
2026-02-15,secondary,Dawid Lewandowski
2026-02-16,late_shift,Celina Mazur
2026-02-16,primary,Elżbieta Kaczmarek
2026-02-16,secondary,Celina Mazur
2026-02-17,late_shift,Tomasz Krawczyk
2026-02-17,primary,Anna Wróbel
2026-02-17,secondary,Tomasz Krawczyk
2026-02-18,late_shift,Robert Baran
2026-02-18,primary,Bartosz Kowal
2026-02-18,secondary,Robert Baran
2026-02-19,late_shift,Anna Wróbel
2026-02-19,primary,Celina Mazur
2026-02-19,secondary,Anna Wróbel
2026-02-20,late_shift,Elżbieta Kaczmarek
2026-02-20,primary,Dawid Lewandowski
2026-02-20,secondary,Elżbieta Kaczmarek
2026-02-21,primary,Bartosz Kowal
2026-02-21,secondary,Halina Szymańska
2026-02-22,primary,Bartosz Kowal
2026-02-22,secondary,Halina Szymańska
2026-02-23,late_shift,Celina Mazur
2026-02-23,primary,Elżbieta Kaczmarek
2026-02-23,secondary,Celina Mazur
2026-02-24,late_shift,Robert Baran
2026-02-24,primary,Anna Wróbel
2026-02-24,secondary,Robert Baran
2026-02-25,late_shift,Tomasz Krawczyk
2026-02-25,primary,Celina Mazur
2026-02-25,secondary,Tomasz Krawczyk
2026-02-26,late_shift,Anna Wróbel
2026-02-26,primary,Dawid Lewandowski
2026-02-26,secondary,Anna Wróbel
2026-02-27,late_shift,Celina Mazur
2026-02-27,primary,Elżbieta Kaczmarek
2026-02-27,secondary,Celina Mazur
2026-02-28,primary,Grzegorz Zieliński
2026-02-28,secondary,Tomasz Krawczyk
2026-03-01,primary,Grzegorz Zieliński
2026-03-01,secondary,Tomasz Krawczyk
2026-03-02,late_shift,Elżbieta Kaczmarek
2026-03-02,primary,Anna Wróbel
2026-03-02,secondary,Elżbieta Kaczmarek
2026-03-03,late_shift,Bartosz Kowal
2026-03-03,primary,Celina Mazur
2026-03-03,secondary,Bartosz Kowal
2026-03-04,late_shift,Dawid Lewandowski
2026-03-04,primary,Tomasz Krawczyk
2026-03-04,secondary,Grzegorz Zieliński
2026-03-05,late_shift,Igor Wójcik
2026-03-05,primary,Dawid Lewandowski
2026-03-05,secondary,Igor Wójcik
2026-03-06,late_shift,Julia Nowak
2026-03-06,primary,Elżbieta Kaczmarek
2026-03-06,secondary,Julia Nowak
2026-03-07,primary,Anna Wróbel
2026-03-07,secondary,Celina Mazur
2026-03-08,primary,Anna Wróbel
2026-03-08,secondary,Celina Mazur
2026-03-09,late_shift,Elżbieta Kaczmarek
2026-03-09,primary,Halina Szymańska
2026-03-09,secondary,Elżbieta Kaczmarek
2026-03-10,late_shift,Bartosz Kowal
2026-03-10,primary,Tomasz Krawczyk
2026-03-10,secondary,Grzegorz Zieliński
2026-03-11,late_shift,Anna Wróbel
2026-03-11,primary,Julia Nowak
2026-03-11,secondary,Anna Wróbel
2026-03-12,late_shift,Dawid Lewandowski
2026-03-12,primary,Celina Mazur
2026-03-12,secondary,Dawid Lewandowski
2026-03-13,late_shift,Bartosz Kowal
2026-03-13,primary,Elżbieta Kaczmarek
2026-03-13,secondary,Bartosz Kowal
2026-03-14,primary,Julia Nowak
2026-03-14,secondary,Igor Wójcik
2026-03-15,primary,Julia Nowak
2026-03-15,secondary,Igor Wójcik
2026-03-16,late_shift,Anna Wróbel
2026-03-16,primary,Dawid Lewandowski
2026-03-16,secondary,Anna Wróbel
2026-03-17,late_shift,Elżbieta Kaczmarek
2026-03-17,primary,Halina Szymańska
2026-03-17,secondary,Elżbieta Kaczmarek
2026-03-18,late_shift,Julia Nowak
2026-03-18,primary,Tomasz Krawczyk
2026-03-18,secondary,Julia Nowak
2026-03-19,late_shift,Halina Szymańska
2026-03-19,primary,Celina Mazur
2026-03-19,secondary,Halina Szymańska
2026-03-20,late_shift,Bartosz Kowal
2026-03-20,primary,Dawid Lewandowski
2026-03-20,secondary,Grzegorz Zieliński
2026-03-21,primary,Elżbieta Kaczmarek
2026-03-21,secondary,Anna Wróbel
2026-03-22,primary,Elżbieta Kaczmarek
2026-03-22,secondary,Anna Wróbel
2026-03-23,late_shift,Dawid Lewandowski
2026-03-23,primary,Halina Szymańska
2026-03-23,secondary,Dawid Lewandowski
2026-03-24,late_shift,Bartosz Kowal
2026-03-24,primary,Tomasz Krawczyk
2026-03-24,secondary,Bartosz Kowal
2026-03-25,late_shift,Julia Nowak
2026-03-25,primary,Celina Mazur
2026-03-25,secondary,Julia Nowak
2026-03-26,late_shift,Elżbieta Kaczmarek
2026-03-26,primary,Bartosz Kowal
2026-03-26,secondary,Elżbieta Kaczmarek
2026-03-27,late_shift,Celina Mazur
2026-03-27,primary,Dawid Lewandowski
2026-03-27,secondary,Grzegorz Zieliński
2026-03-28,primary,Halina Szymańska
2026-03-28,secondary,Tomasz Krawczyk
2026-03-29,primary,Halina Szymańska
2026-03-29,secondary,Tomasz Krawczyk
2026-03-30,late_shift,Dawid Lewandowski
2026-03-30,primary,Grzegorz Zieliński
2026-03-30,secondary,Dawid Lewandowski
2026-03-31,late_shift,Julia Nowak
2026-03-31,primary,Bartosz Kowal
2026-03-31,secondary,Julia Nowak
2026-04-01,late_shift,Halina Szymańska
2026-04-01,primary,Tomasz Krawczyk
2026-04-01,secondary,Halina Szymańska
2026-04-02,late_shift,Bartosz Kowal
2026-04-02,primary,Celina Mazur
2026-04-02,secondary,Bartosz Kowal
2026-04-03,late_shift,Igor Wójcik
2026-04-03,primary,Dawid Lewandowski
2026-04-03,secondary,Grzegorz Zieliński
2026-04-04,primary,Anna Wróbel
2026-04-04,secondary,Elżbieta Kaczmarek
2026-04-05,primary,Anna Wróbel
2026-04-05,secondary,Elżbieta Kaczmarek
2026-04-06,primary,Anna Wróbel
2026-04-06,secondary,Elżbieta Kaczmarek
2026-04-07,late_shift,Halina Szymańska
2026-04-07,primary,Grzegorz Zieliński
2026-04-07,secondary,Halina Szymańska
2026-04-08,late_shift,Celina Mazur
2026-04-08,primary,Tomasz Krawczyk
2026-04-08,secondary,Celina Mazur
2026-04-09,late_shift,Dawid Lewandowski
2026-04-09,primary,Bartosz Kowal
2026-04-09,secondary,Dawid Lewandowski
2026-04-10,late_shift,Tomasz Krawczyk
2026-04-10,primary,Celina Mazur
2026-04-10,secondary,Grzegorz Zieliński
2026-04-11,primary,Dawid Lewandowski
2026-04-11,secondary,Bartosz Kowal
2026-04-12,primary,Dawid Lewandowski
2026-04-12,secondary,Bartosz Kowal
2026-04-13,late_shift,Julia Nowak
2026-04-13,primary,Grzegorz Zieliński
2026-04-13,secondary,Julia Nowak
2026-04-14,late_shift,Halina Szymańska
2026-04-14,primary,Tomasz Krawczyk
2026-04-14,secondary,Halina Szymańska
2026-04-15,late_shift,Igor Wójcik
2026-04-15,primary,Julia Nowak
2026-04-15,secondary,Igor Wójcik
2026-04-16,late_shift,Celina Mazur
2026-04-16,primary,Bartosz Kowal
2026-04-16,secondary,Celina Mazur
2026-04-17,late_shift,Dawid Lewandowski
2026-04-17,primary,Elżbieta Kaczmarek
2026-04-17,secondary,Dawid Lewandowski
2026-04-18,primary,Celina Mazur
2026-04-18,secondary,Grzegorz Zieliński
2026-04-19,primary,Celina Mazur
2026-04-19,secondary,Grzegorz Zieliński
2026-04-20,late_shift,Julia Nowak
2026-04-20,primary,Tomasz Krawczyk
2026-04-20,secondary,Julia Nowak
2026-04-21,late_shift,Anna Wróbel
2026-04-21,primary,Bartosz Kowal
2026-04-21,secondary,Anna Wróbel
2026-04-22,late_shift,Halina Szymańska
2026-04-22,primary,Grzegorz Zieliński
2026-04-22,secondary,Halina Szymańska
2026-04-23,late_shift,Igor Wójcik
2026-04-23,primary,Julia Nowak
2026-04-23,secondary,Igor Wójcik
2026-04-24,late_shift,Celina Mazur
2026-04-24,primary,Elżbieta Kaczmarek
2026-04-24,secondary,Celina Mazur
2026-04-25,primary,Halina Szymańska
2026-04-25,secondary,Anna Wróbel
2026-04-26,primary,Halina Szymańska
2026-04-26,secondary,Anna Wróbel
2026-04-27,late_shift,Dawid Lewandowski
2026-04-27,primary,Grzegorz Zieliński
2026-04-27,secondary,Dawid Lewandowski
2026-04-28,late_shift,Julia Nowak
2026-04-28,primary,Tomasz Krawczyk
2026-04-28,secondary,Julia Nowak
2026-04-29,late_shift,Halina Szymańska
2026-04-29,primary,Bartosz Kowal
2026-04-29,secondary,Halina Szymańska
2026-04-30,late_shift,Tomasz Krawczyk
2026-04-30,primary,Julia Nowak
2026-04-30,secondary,Tomasz Krawczyk
2026-05-01,primary,Elżbieta Kaczmarek
2026-05-01,secondary,Celina Mazur
2026-05-02,primary,Elżbieta Kaczmarek
2026-05-02,secondary,Celina Mazur
2026-05-03,primary,Elżbieta Kaczmarek
2026-05-03,secondary,Celina Mazur
2026-05-04,late_shift,Igor Wójcik
2026-05-04,primary,Grzegorz Zieliński
2026-05-04,secondary,Igor Wójcik
2026-05-05,late_shift,Dawid Lewandowski
2026-05-05,primary,Tomasz Krawczyk
2026-05-05,secondary,Dawid Lewandowski
2026-05-06,late_shift,Bartosz Kowal
2026-05-06,primary,Julia Nowak
